id,version,set_num,name,year,theme_id,num_parts
374,1,6470-1,Zoo friends,2013,504,5
375,1,40082-1,My First Circus,2013,504,62
376,1,315-2,Play House,2013,504,83
377,1,851210-1,Train Accessory Set,2013,504,24
378,1,71001-8,My First Train Set,2013,504,52
379,1,3451-1,Deluxe Train Set,2013,504,134
380,1,9853-1,Dusty and Chug,2013,504,16
382,1,5877-1,Canada Post Truck,1984,81,65
384,1,9825-1,Ripslinger's Air Race,2013,504,40
385,1,6685-1,Skipper's Flight School,2013,504,49
387,1,41016-8,Jake's Treasure Hunt,2013,504,22
388,1,727-1,Never Land Hideout,2013,504,37
389,1,6758-1,Jake's Pirate Ship Bucky,2013,504,56
390,1,4576-1,Ariel's Undersea Castle,2013,504,39
392,1,7219-1,Ariel's Magical Boat Ride,2012,504,29
393,1,9222-1,My First Garden,2013,504,37
394,1,4551-1,My First Construction Site,2013,504,47
395,1,7888-1,Building Set,1973,469,150
397,1,71014-15,Big Front Loader,2013,504,12
398,1,71010-17,Baby Calf,2014,504,9
401,1,40195-1,Farm Animals,2014,504,12
402,1,114-2,Farm Tractor,2014,504,29
403,1,76050-1,Big Farm,2014,504,121
404,1,7687-17,Peter Pan's Visit,2014,504,39
405,1,970663-1,Ambulance,2014,504,14
406,1,8738-1,School Bus,2014,504,26
407,1,9857-1,Truck,2014,504,16
408,1,7724-20,Community Buildings,1984,533,895
409,1,76036-1,Mickey Mouse and Friends,2012,504,65
410,1,3494-1,My First Police Set,2014,504,39
411,1,6678-1,Fire and Rescue Team,2014,506,30
412,1,70005-1,Beach Racing,2014,504,36
415,1,MS1032-1,Stena Line Ferry,1999,471,211
416,1,1690-1,Sleeping Beauty's Fairy Tale,2014,579,55
419,1,7172-1,Superman™ Rescue,2014,504,19
422,1,6472-1,The Joker Challenge,2014,504,40
423,1,60096-1,Batcave Adventure,2014,504,59
424,1,710-6,My First Shop,2014,504,39
427,1,7957-1,Circus Transport,2013,504,9
429,1,2027-1,Creative Cars,2013,504,42
431,1,70707-1,Toddler Build and Play Cubes,2013,505,17
432,1,60139-1,Toddler Build and Pull Along,2013,505,15
433,1,8083-1,Creative Bucket,2013,505,65
434,1,70600-1,Giant Tower,2013,504,200
436,1,6969-1,Number Train,2013,504,31
437,1,60069-1,Basic School Pack - 773 elements with teacher's manual,1985,534,785
438,1,561511-1,Toddler Starter Building Set,2013,505,37
440,1,852737-1,LEGO® DUPLO® Creative Suitcase,2014,504,135
441,1,6247-1,Creative Picnic,2014,504,52
442,1,5967-1,Toddler Build and Boat Fun,2014,504,18
443,1,30190-1,Knight Tournament,2014,504,16
444,1,60002-1,Treasure Attack,2014,504,46
445,1,102A-1,LEGO® DUPLO® All-in-One-Gift-Set,2014,504,30
446,1,6890-1,All-in-One-Pink-Box-of-Fun,2014,504,65
447,1,60144-1,All-in-One-Box-of-Fun,2014,504,65
448,1,8369-1,Creative Animals,2014,504,25
451,1,5166-1,Creative Ice Cream,2014,504,23
452,1,1807-1,Duplo Creative Building Cube,2014,504,75
454,1,6212-1,Zoo Care,2014,504,9
457,1,75127-1,Big Royal Castle,2014,504,135
459,1,9089-1,Clubhouse Café,2014,504,16
460,1,LLCA52-1,Deluxe Box of Fun,2014,504,95
461,1,310-5,Forest: Ducks,2015,504,13
465,1,6077-2,Forest: Animals,2015,504,39
466,1,507-1,Forest: Fishing Trip,2015,504,30
467,1,6928-1,Forest: Park,2015,504,102
468,1,79104-3,Mom and Baby,2015,504,13
469,1,3316-19,Ice Cream Truck,2015,504,11
470,1,310-3,Café,2015,504,51
472,1,5925-1,Rally Car,2015,504,13
473,1,65813-1,Airport,2015,504,29
474,1,813-2,Fire Boat,2015,504,19
475,1,400-1,Fire Truck,2015,504,26
477,1,9677-1,Fire Station,2015,504,104
479,1,1796-1,Sofia the First™ Royal Stable,2015,504,38
480,1,8028-1,Sofia the First™ Royal Castle,2015,504,87
481,1,70786-1,Disney Princess™ Collection,2015,504,63
482,1,6038-1,Mickey & Minnie Birthday Parade,2015,504,24
483,1,455-1,Batman Adventure,2015,504,46
484,1,5766-1,Disney • Pixar Cars™ Classic Race,2015,506,29
485,1,750-1,Road Plates and Signs,1981,533,30
486,1,3920-1,Delivery Vehicle,2015,504,19
488,1,685-1,Camping,2015,504,37
489,1,4618-1,My First Bus,2015,504,17
491,1,6404-1,Jake and the Never Land Pirates Treasure Island,2015,504,25
492,1,312-4,Doc McStuffins Rosie the Ambulance,2015,504,16
493,1,7724-2,Doc McStuffins Backyard Clinic,2015,504,39
496,1,k34434-1,Spider-Man Web-Bike Workshop,2015,504,13
497,1,42002-1,Spider-Man Spider Truck Adventure,2015,504,28
498,1,6522-1,UNICEF Van,1985,79,59
499,1,167-1,Single Disk Pack,2000,20,1
500,1,5001307-1,My First Tractor,2015,504,12
501,1,7979-7,My First Playhouse,2015,504,25
502,1,40081-4,My First Farm,2015,504,26
503,1,4591715-1,LEGO® DUPLO® Creative Building Box,2015,504,69
504,1,9831-1,{Town Vehicles},1980,533,158
505,1,10228-1,Large Creative Box,2015,504,193
506,1,8898-1,Basic Bricks – Large,2015,505,0
508,1,292-1,Community Workers,1985,533,169
509,1,41040-9,Dacta Buildings,1981,533,0
511,1,4867-1,House Accessories - 182 elements,1985,534,196
512,1,8398-1,XL Creative Brick Box,2016,365,1599
515,1,KT105-1,Monster Trucks,2013,37,197
516,1,329-1,My First LEGO Princess,2013,22,88
517,1,4451-1,My First LEGO Set,2013,37,148
518,1,6573-1,Blue Suitcase,2013,37,152
521,1,6162-1,Pink Suitcase,2013,37,157
523,1,8039-1,36 Little People + Accessories,1982,533,174
525,1,VP-12,My First LEGO Fire Station,2013,22,90
526,1,7271-1,LEGO Creative Bucket,2013,37,607
528,1,1997-1,LEGO Creative Chest,2013,22,607
531,1,214.6-1,Creative Tower,2013,22,1599
532,1,7111-1,Spider-Man: Spider-Car Pursuit,2014,591,55
533,1,B002-1,Digger,2014,591,75
534,1,851005-1,Construction,2014,591,159
537,1,700.B.2-1,The Princess Play Castle,2014,591,149
538,1,7324-13,Turtle Lair,2014,591,107
539,1,9731-1,Community Vehicles,1988,507,251
540,1,4939-1,Fire Emergency,2014,591,123
541,1,10737-1,Batman: Defend the Batcave,2014,591,150
542,1,5082-1,Race Car Rally,2014,591,349
544,1,10725-1,Pony Farm,2014,591,305
545,1,4610-1,Police – The Big Escape,2014,591,146
546,1,41567-1,Knights’ Castle,2014,591,479
547,1,71012-2,Beach Excursion,2015,591,74
549,1,3040-1,Pirate Treasure Hunt,2015,591,57
550,1,5402-1,Garbage Truck,2015,591,99
551,1,4063-1,Air Patrol,1999,87,20
552,1,5284-1,Creative Building Cube,2014,37,599
554,1,7606-1,Creative Suitcase,2014,37,1016
556,1,SW911508-1,Road Work Truck,2015,591,132
557,1,3409-1,Supermarket Suitcase,2015,591,132
558,1,21120-1,Fire Suitcase,2015,591,113
560,1,5002045-1,Family House,2015,591,226
561,1,K4516-1,Spider-Man™ Hideout,2015,591,137
563,1,2824-20,Speedboat,1999,77,22
565,1,337-1,Creative Bricks,2015,366,220
566,1,245-1,Creative Supplement,2015,366,302
567,1,70140-1,Rocket,2015,365,12
570,1,9393-1,Creative Supplement Bright,2015,366,302
571,1,7870-1,Creative Building Box,2015,366,579
575,1,5621-1,Medium Creative Brick Box,2015,366,483
576,1,71001-4,XXXL Box,2015,365,1499
577,1,6860-1,Large Creative Brick Box,2015,366,789
578,1,5490-1,Sand Baseplate,2015,365,1
579,1,4277206-1,Green Baseplate,2015,365,1
580,1,K3409-1,Stunt Flyer,1999,87,20
581,1,70794-1,Gray Baseplate,2015,365,1
582,1,3447-1,Creative Building Set,2016,365,582
583,1,6058324-1,Creative Builder Box,2017,365,499
586,1,30121-1,Creative Box,2017,365,900
587,1,6731-1,Creative Building Basket,2016,366,999
588,1,7687-10,Blue Creative Box,2017,365,78
589,1,71004-6,Red Creative Box,2017,365,55
590,1,70206-1,Green Creative Box,2017,365,66
591,1,75074-1,Orange Creative Box,2017,365,60
592,1,10059-1,4.5V Motor Set,1976,473,31
593,1,4857-1,Canada Post Mail Truck,1985,81,138
594,1,8903-1,Police Helicopter Chase,2016,591,63
595,1,4103-2,Iron Man vs Loki,2016,591,66
597,1,45303-1,Snake Showdown,2016,591,92
599,1,9678-1,Ariel's Dolphin Carriage,2016,591,70
601,1,6361-1,Batman & Superman vs. Lex Luthor,2016,482,164
603,1,30071-1,Lost Temple,2016,591,171
604,1,4876-1,Stephanie's Horse Carriage,2016,496,58
605,1,71247-1,Emma's Ice Cream Truck,2016,494,136
606,1,7952-12,Mia's Vet Clinic,2016,494,182
607,1,B003-1,Cinderella's Carriage,2016,591,116
608,1,9826-1,Demolition Site,2017,591,162
609,1,5276-1,Police Truck Chase,2017,591,90
610,1,1610-1,Anna & Elsa's Frozen Playground,2017,591,94
612,1,445062-1,Batman vs. Mr. Freeze,2017,591,63
613,1,30229-1,Fire Patrol Suitcase,2017,591,108
614,1,66444-1,Mia's Farm Suitcase,2017,591,104
618,1,6389-1,Andrea and Stephanie's Beach Holiday,2017,591,141
620,1,10679-1,LEGO People Supplementary Set,1980,511,256
621,1,75059-1,Advent Calendar 1999,1999,207,228
622,1,70319-1,Advent Calendar 1999 (Day  9) Fire Engine,1999,217,10
623,1,4541-1,Advent Calendar 1999 (Day 10) Santa Minifig,1999,217,5
624,1,6750-1,Advent Calendar 1999 (Day 11) Dog,1999,217,8
625,1,40005-1,Advent Calendar 1999 (Day 12) Hippo,1999,217,9
627,1,4905-1,Advent Calendar 1999 (Day 13) Hovercraft,1999,217,10
629,1,852997-1,Advent Calendar 1999 (Day 14) Penguin,1999,217,8
630,1,5318-1,Advent Calendar 1999 (Day 15) Elf,1999,217,12
631,1,851441,Advent Calendar 1999 (Day 16) Seaplane,1999,217,10
635,1,915-1,Advent Calendar 1999 (Day 17) Gentleman,1999,217,10
637,1,7256-1,Advent Calendar 1999 (Day 18) Elephant,1999,217,10
639,1,8785483-1,Advent Calendar 1999 (Day  1) Plane,1999,217,11
640,1,1554-1,Advent Calendar 1999 (Day 19) Sea Plane,1999,217,8
641,1,4210-1,Advent Calendar 1999 (Day 20) Cow,1999,217,10
642,1,7904-17,Advent Calendar 1999 (Day 21) Police Car,1999,217,11
646,1,3225-1,Advent Calendar 1999 (Day 22) Dog with Red Hat,1999,217,12
647,1,2263-1,Advent Calendar 1999 (Day 23) Police Helicopter,1999,217,10
651,1,7724-25,Advent Calendar 1999 (Day 24) Santa,1999,217,11
653,1,71010-2,Advent Calendar 1999 (Day  2) Snowman,1999,217,11
654,1,8601-2,Advent Calendar 1999 (Day  3) Speedboat,1999,217,7
655,1,41071-1,Advent Calendar 1999 (Day  4) Girl,1999,217,8
656,1,44025-1,Advent Calendar 1999 (Day  5) Sailboat,1999,217,9
658,1,9883-1,Advent Calendar 1999 (Day  6) Reindeer,1999,217,12
659,1,3383-1,Advent Calendar 1999 (Day  7) Plane,1999,217,10
660,1,4059-1,Advent Calendar 1999 (Day  8) Girl,1999,217,8
661,1,8652-1,Supplementary Set,1976,528,170
662,1,7170-2,Baby Animals,2016,504,13
663,1,10048-1,Savanna,2016,504,15
666,1,75023-8,Arctic,2016,504,32
667,1,9868-1,Jungle,2016,504,86
668,1,4613985-1,Around the World,2016,504,148
671,1,TRUNINJAGO-1,Horses,2016,504,20
673,1,3671-1,Little Plane,2016,504,13
674,1,706-1,Battery Box,1976,243,1
676,1,30106-1,Push Train,2016,504,46
678,1,485-2,Big Construction Site,2016,504,48
680,1,608-2,Tow Truck Set,2016,504,26
681,1,60116-1,My First Truck,2016,504,29
682,1,8533-1,"Lego Duplo Creative Building Basket, Multi Color",2016,504,110
685,1,7958-20,Miles' Space Adventures,2017,504,23
686,1,8693-1,Miles' Exo-Flex Suit,2016,504,37
687,1,75041-1,Mickey and Friends Beach House,2016,504,48
688,1,1247-2,Mickey's Workshop,2016,504,18
690,1,445-2,Minnie's Cafe,2016,504,27
691,1,3752-1,Supplementary Pack,1986,534,106
692,1,8448-1,My First Caterpillar,2016,504,19
693,1,7574-3,My First Number Train,2017,504,19
694,1,700.C-1,My First Plane,2017,504,10
695,1,65514-1,My First Bird,2017,504,7
696,1,2856238-1,Road Burner,1999,87,25
697,1,4586940-1,Lego Basic Figures - 24 elements,1985,534,24
698,1,870-1,TECHNIC Control I,1986,1,397
699,1,850998-1,TECHNIC Control II,1986,1,467
701,1,75100-1,Arkham Asylum Breakout,2012,484,1619
702,1,1118-1,Johnny Thunder,1999,297,13
703,1,75912-1,Super Sub,1999,311,24
705,1,733-1,Race Buggy,1997,82,23
706,1,7907-23,Res-Q Runner,1999,92,18
707,1,7856-1,Hang Glider,1998,87,19
708,1,65071-1,Ninja Blaster,1999,434,24
710,1,6637-1,Mini-Wheel Model Maker No. 1,1971,423,86
712,1,7881-1,Sky Pirates,2001,68,110
716,1,418-2,Universal Building Set,1977,469,129
718,1,1239-2,Replacement 4.5V Motor,1977,443,1
722,1,30255-1,Motor Bushes,1977,456,4
723,1,711-1,Battery Box,1977,443,1
725,1,9940-1,DNA Student Set,2008,517,521
728,1,6886-1,Battery Cables (75cm),1977,443,2
731,1,6737-1,Crawler Tracks,1977,443,2
732,1,8609-1,Battery Tender,1977,456,2
734,1,60017-1,Basic Building Set,1999,470,413
735,1,4485-1,Signal and Direction-Change Switch,1977,456,4
736,1,60099-1,Magnetic Couplings,1977,456,4
737,1,852747-1,Magnetic Couplings for Railway Car,1977,456,4
738,1,7920-1,Basic Souvenir Box,1981,469,36
740,1,70401-1,Train Wheels,1977,456,8
741,1,619-1,Universal Building Set,1977,469,173
742,1,5887-1,Rubber Rims for Locomotive Wheels,1977,456,8
743,1,75056-3,Starter Train Set without Motor,1966,235,118
745,1,8706-1,Train Sliding Wheel Blocks,1977,456,2
747,1,5961-1,Motor Frame and Couplers,1977,443,5
